start,end,state
2010-03-01 00:00:00,2010-03-31 23:59:59,OK
2010-01-30 00:00:00,2010-03-01 23:59:59,OK
2009-12-31 00:00:00,2010-01-30 23:59:59,OK
2009-12-01 00:00:00,2009-12-31 23:59:59,OK
2009-11-01 00:00:00,2009-12-01 23:59:59,OK
2009-10-02 00:00:00,2009-11-01 23:59:59,OK
2009-09-02 00:00:00,2009-10-02 23:59:59,OK
2009-08-03 00:00:00,2009-09-02 23:59:59,OK
2009-07-04 00:00:00,2009-08-03 23:59:59,OK
2009-06-04 00:00:00,2009-07-04 23:59:59,OK
2009-05-05 00:00:00,2009-06-04 23:59:59,OK
2009-04-05 00:00:00,2009-05-05 23:59:59,OK
2009-03-06 00:00:00,2009-04-05 23:59:59,OK
2009-02-04 00:00:00,2009-03-06 23:59:59,OK
2009-01-05 00:00:00,2009-02-04 23:59:59,OK
2008-12-06 00:00:00,2009-01-05 23:59:59,OK
2008-11-06 00:00:00,2008-12-06 23:59:59,OK
2008-10-07 00:00:00,2008-11-06 23:59:59,OK
2008-09-07 00:00:00,2008-10-07 23:59:59,OK
2008-08-08 00:00:00,2008-09-07 23:59:59,OK
2008-07-09 00:00:00,2008-08-08 23:59:59,OK
2008-06-09 00:00:00,2008-07-09 23:59:59,OK
2008-05-10 00:00:00,2008-06-09 23:59:59,OK
2008-04-10 00:00:00,2008-05-10 23:59:59,OK
2008-03-11 00:00:00,2008-04-10 23:59:59,OK
2008-02-10 00:00:00,2008-03-11 23:59:59,OK
2008-01-11 00:00:00,2008-02-10 23:59:59,OK
2007-12-12 00:00:00,2008-01-11 23:59:59,OK
2007-11-12 00:00:00,2007-12-12 23:59:59,OK
2007-10-13 00:00:00,2007-11-12 23:59:59,OK
2007-09-13 00:00:00,2007-10-13 23:59:59,OK
2007-08-14 00:00:00,2007-09-13 23:59:59,OK
2007-07-15 00:00:00,2007-08-14 23:59:59,OK
2007-06-15 00:00:00,2007-07-15 23:59:59,OK
2007-05-16 00:00:00,2007-06-15 23:59:59,OK
2007-04-16 00:00:00,2007-05-16 23:59:59,OK
2007-03-17 00:00:00,2007-04-16 23:59:59,OK
2007-02-15 00:00:00,2007-03-17 23:59:59,OK
2007-01-16 00:00:00,2007-02-15 23:59:59,OK
2006-12-17 00:00:00,2007-01-16 23:59:59,OK
2006-11-17 00:00:00,2006-12-17 23:59:59,OK
2006-10-18 00:00:00,2006-11-17 23:59:59,OK
2006-09-18 00:00:00,2006-10-18 23:59:59,OK
2006-08-19 00:00:00,2006-09-18 23:59:59,OK
2006-07-20 00:00:00,2006-08-19 23:59:59,OK
2006-06-20 00:00:00,2006-07-20 23:59:59,OK
2006-05-21 00:00:00,2006-06-20 23:59:59,OK
2006-04-21 00:00:00,2006-05-21 23:59:59,OK
2006-03-22 00:00:00,2006-04-21 23:59:59,OK
2006-02-20 00:00:00,2006-03-22 23:59:59,OK
2006-01-21 00:00:00,2006-02-20 23:59:59,OK
2005-12-22 00:00:00,2006-01-21 23:59:59,OK
2005-11-22 00:00:00,2005-12-22 23:59:59,OK
2005-10-23 00:00:00,2005-11-22 23:59:59,OK
2005-09-23 00:00:00,2005-10-23 23:59:59,OK
2005-08-24 00:00:00,2005-09-23 23:59:59,OK
2005-07-25 00:00:00,2005-08-24 23:59:59,OK
2005-06-25 00:00:00,2005-07-25 23:59:59,OK
2005-05-26 00:00:00,2005-06-25 23:59:59,OK
2005-04-26 00:00:00,2005-05-26 23:59:59,OK
2005-03-27 00:00:00,2005-04-26 23:59:59,OK
2005-02-25 00:00:00,2005-03-27 23:59:59,OK
2005-01-26 00:00:00,2005-02-25 23:59:59,OK
2004-12-27 00:00:00,2005-01-26 23:59:59,OK
2004-11-27 00:00:00,2004-12-27 23:59:59,OK
2004-10-28 00:00:00,2004-11-27 23:59:59,OK
2004-09-28 00:00:00,2004-10-28 23:59:59,OK
2004-08-29 00:00:00,2004-09-28 23:59:59,OK
2004-07-30 00:00:00,2004-08-29 23:59:59,OK
2004-06-30 00:00:00,2004-07-30 23:59:59,OK
2004-05-31 00:00:00,2004-06-30 23:59:59,OK
2004-05-01 00:00:00,2004-05-31 23:59:59,OK
2004-04-01 00:00:00,2004-05-01 23:59:59,OK
2004-03-02 00:00:00,2004-04-01 23:59:59,OK
2004-02-01 00:00:00,2004-03-02 23:59:59,OK
2004-01-02 00:00:00,2004-02-01 23:59:59,OK
2003-12-03 00:00:00,2004-01-02 23:59:59,OK
2003-11-03 00:00:00,2003-12-03 23:59:59,OK
2003-10-04 00:00:00,2003-11-03 23:59:59,OK
2003-09-04 00:00:00,2003-10-04 23:59:59,OK
2003-08-05 00:00:00,2003-09-04 23:59:59,OK
2003-07-06 00:00:00,2003-08-05 23:59:59,OK
2003-06-06 00:00:00,2003-07-06 23:59:59,OK
2003-05-07 00:00:00,2003-06-06 23:59:59,OK
2003-04-07 00:00:00,2003-05-07 23:59:59,OK
2003-03-08 00:00:00,2003-04-07 23:59:59,OK
2003-02-06 00:00:00,2003-03-08 23:59:59,OK
2003-01-07 00:00:00,2003-02-06 23:59:59,OK
2002-12-08 00:00:00,2003-01-07 23:59:59,OK
2002-11-08 00:00:00,2002-12-08 23:59:59,OK
2002-10-09 00:00:00,2002-11-08 23:59:59,OK
2002-09-09 00:00:00,2002-10-09 23:59:59,OK
2002-08-10 00:00:00,2002-09-09 23:59:59,OK
2002-07-11 00:00:00,2002-08-10 23:59:59,OK
2002-06-11 00:00:00,2002-07-11 23:59:59,OK
2002-05-12 00:00:00,2002-06-11 23:59:59,OK
2002-04-12 00:00:00,2002-05-12 23:59:59,OK
2002-03-13 00:00:00,2002-04-12 23:59:59,OK
2002-02-11 00:00:00,2002-03-13 23:59:59,OK
2002-01-12 00:00:00,2002-02-11 23:59:59,OK
2001-12-13 00:00:00,2002-01-12 23:59:59,OK
2001-11-13 00:00:00,2001-12-13 23:59:59,OK
2001-10-14 00:00:00,2001-11-13 23:59:59,OK
2001-09-14 00:00:00,2001-10-14 23:59:59,OK
